Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,CONNECT,3,0,120.0,116.72377586364746,107.0711612701416,121.59442901611328,0.0,2.975601692720804,0.0,120,120,120,120,120,120,120,120,120,120,120
MQTT,DISCONNECT,5,0,880.0,880.1958084106445,879.8530101776123,880.4779052734375,0.0,4.9593361545346735,0.0,880,880,880,880,880,880,880,880,880,880,880
,Aggregated,8,0,880.0,593.8937962055206,107.0711612701416,880.4779052734375,0.0,7.934937847255477,0.0,880,880,880,880,880,880,880,880,880,880,880
