Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,CONNECT,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0,2.9755418820558175,0.0,120,120,130,130,130,130,130,130,130,130,130
MQTT,DISCONNECT,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0,4.959236470093029,0.0,880,880,880,880,880,880,880,880,880,880,880
,Aggregated,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0,7.934778352148847,0.0,880,880,880,880,880,880,880,880,880,880,880
