Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,CONNECT,3,0,120.0,115.81826210021973,107.10549354553223,120.51010131835938,0.0,2.970147016578224,0.0,120,120,120,120,120,120,120,120,120,120,120
MQTT,DISCONNECT,5,0,881.798505783081,883.2485675811768,881.798505783081,884.2973709106445,0.0,4.950245027630373,0.0,880,880,880,880,880,880,880,880,880,880,880
,Aggregated,8,0,880.0,595.4622030258179,107.10549354553223,884.2973709106445,0.0,7.920392044208597,0.0,880,880,880,880,880,880,880,880,880,880,880
