Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758588766,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758588767,5,MQTT,CONNECT,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588767,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588768,0,MQTT,CONNECT,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588768,0,MQTT,DISCONNECT,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588768,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588769,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588769,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588769,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588770,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588770,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588770,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588771,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588771,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588771,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588772,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588772,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588772,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588773,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588773,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588773,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588774,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588774,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588774,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588775,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588775,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588775,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588776,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588776,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588776,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588777,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588777,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588777,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588778,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588778,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588778,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588779,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588779,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588779,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588780,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588780,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588780,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588781,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588781,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588781,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588782,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588782,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588782,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588783,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588783,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
1758588783,0,,Aggregated,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,8,0,878.1793117523193,593.0712521076202,102.4775505065918,878.1793117523193,0.0
1758588784,0,MQTT,CONNECT,0.000000,0.000000,120,120,130,130,130,130,130,130,130,130,130,3,0,120.0,118.50937207539876,102.4775505065918,128.20792198181152,0.0
1758588784,0,MQTT,DISCONNECT,0.000000,0.000000,880,880,880,880,880,880,880,880,880,880,880,5,0,878.1793117523193,877.8083801269531,877.4030208587646,878.1793117523193,0.0
